horizon,model,feature,importance_mean,importance_std
1,Random Forest Regressor,PM2.5,70.58523565870833,0.731844907747005
1,Random Forest Regressor,PM10,16.170084095195897,0.19520375469582446
1,Random Forest Regressor,DEWP,2.032457322918256,0.3283834709750298
1,Random Forest Regressor,WSPM,1.9515494577302044,0.3536315110204134
1,Random Forest Regressor,NO2,1.827419405945723,0.11860200274677399
1,Random Forest Regressor,TEMP,1.49541436531185,0.3306168229176228
1,Random Forest Regressor,CO,1.2904916498878591,0.12175342157579001
1,Random Forest Regressor,O3,0.732967014928753,0.24046756913154152
1,Random Forest Regressor,SO2,0.5288363204749572,0.034979635782187816
1,Random Forest Regressor,PRES,0.4405677618432712,0.044632699654737686
1,Random Forest Regressor,month,0.22489172674364113,0.031939441465936476
1,Random Forest Regressor,day,0.05948289351724867,0.05131564690897493
8,Random Forest Regressor,PM2.5,38.29938254665045,0.5739995459444128
8,Random Forest Regressor,DEWP,9.195399263395986,0.3708170751252545
8,Random Forest Regressor,day,7.247845374445099,0.23336162960283183
8,Random Forest Regressor,TEMP,6.999146423185604,0.2528127148419318
8,Random Forest Regressor,WSPM,5.932880677849806,0.7081370823802421
8,Random Forest Regressor,month,4.95795759130614,0.31095924563746313
8,Random Forest Regressor,SO2,4.653734432402753,0.3321831530004768
8,Random Forest Regressor,PRES,4.623720875459499,0.13716786938919323
8,Random Forest Regressor,PM10,3.8435603562741263,0.1049632662664825
8,Random Forest Regressor,NO2,2.1913061594719565,0.22543536095647443
8,Random Forest Regressor,O3,2.136816516349012,0.31164961170238487
8,Random Forest Regressor,CO,1.3539890799547152,0.2535315606323858
24,Random Forest Regressor,PM2.5,29.45065506267128,0.8806652273221786
24,Random Forest Regressor,day,21.625818344216967,0.6690655753826272
24,Random Forest Regressor,DEWP,20.55813514011532,0.6308943294616539
24,Random Forest Regressor,PRES,18.519910986940552,0.5700988710660289
24,Random Forest Regressor,month,13.317818720202007,0.3485563905217279
24,Random Forest Regressor,TEMP,5.874114687501182,0.23379427201926886
24,Random Forest Regressor,SO2,5.144625495948992,0.3584446933067695
24,Random Forest Regressor,NO2,3.6163090634352457,0.23857635036682032
24,Random Forest Regressor,O3,3.0445213182828468,0.35444833399055686
24,Random Forest Regressor,PM10,2.917599105011912,0.1448733144128722
24,Random Forest Regressor,CO,2.2299680500907684,0.15146991885566816
24,Random Forest Regressor,WSPM,2.2251388159862215,0.30501439121778035
