feature,importance,model
num__PM10,0.27262220916976665,RandomForestClassifier
num__CO,0.1298784644495826,RandomForestClassifier
num__DEWP,0.07426291677568597,RandomForestClassifier
num__NO2,0.07207597612056872,RandomForestClassifier
num__SO2,0.05361407937727276,RandomForestClassifier
num__TEMP,0.05010220240286488,RandomForestClassifier
num__PRES,0.05002026549388463,RandomForestClassifier
num__O3,0.04718448918701464,RandomForestClassifier
num__day,0.04286644964697447,RandomForestClassifier
num__WSPM,0.03644846514827409,RandomForestClassifier
num__hour,0.033116321617926735,RandomForestClassifier
num__month,0.03037278936749393,RandomForestClassifier
num__year,0.019908493769907987,RandomForestClassifier
num__station_Wanshouxigong,0.004141021558486311,RandomForestClassifier
num__station_Dingling,0.00413680667829974,RandomForestClassifier
num__station_Shunyi,0.004072095402533186,RandomForestClassifier
num__station_Wanliu,0.004033523478740571,RandomForestClassifier
num__station_Dongsi,0.003989755965590657,RandomForestClassifier
num__station_Gucheng,0.003989657484537974,RandomForestClassifier
num__station_Changping,0.003909008804000541,RandomForestClassifier
num__station_Nongzhanguan,0.0037935071969331874,RandomForestClassifier
num__station_Huairou,0.003758246779034505,RandomForestClassifier
num__station_Tiantan,0.003642331280644818,RandomForestClassifier
num__station_Guanyuan,0.003547520400768585,RandomForestClassifier
num__wd_NE,0.0033971073978670474,RandomForestClassifier
num__RAIN,0.0033495268428977497,RandomForestClassifier
num__wd_NW,0.0032109523014905075,RandomForestClassifier
num__wd_N,0.003145569924917444,RandomForestClassifier
num__wd_ENE,0.0030353172406835573,RandomForestClassifier
num__wd_SW,0.003034719067304289,RandomForestClassifier
num__wd_WNW,0.0028422448711499333,RandomForestClassifier
num__wd_NNE,0.002833175040950166,RandomForestClassifier
num__wd_NNW,0.002795533013324817,RandomForestClassifier
num__wd_WSW,0.0026409615499914706,RandomForestClassifier
num__wd_ESE,0.0026139521629112623,RandomForestClassifier
num__wd_SSW,0.002557520680294349,RandomForestClassifier
num__wd_W,0.0025009245261362226,RandomForestClassifier
num__wd_S,0.0022757296863556075,RandomForestClassifier
num__wd_SE,0.002196093591518592,RandomForestClassifier
num__wd_SSE,0.002084074545418838,RandomForestClassifier
