feature,importance,model
num__PM10,0.25875525007190286,RandomForestClassifier
num__CO,0.13104735953177776,RandomForestClassifier
num__NO2,0.08340242542287807,RandomForestClassifier
num__DEWP,0.07892209525976446,RandomForestClassifier
num__SO2,0.058912286421259605,RandomForestClassifier
num__PRES,0.05550730321617304,RandomForestClassifier
num__TEMP,0.052434399987470404,RandomForestClassifier
num__O3,0.0508988083180369,RandomForestClassifier
num__day,0.04471560258633507,RandomForestClassifier
num__WSPM,0.039482055777578046,RandomForestClassifier
num__hour,0.03570485798213683,RandomForestClassifier
num__month,0.03257122669136447,RandomForestClassifier
num__year,0.017777466399758784,RandomForestClassifier
num__station_Changping,0.008712656240323337,RandomForestClassifier
num__wd_NE,0.004229415098846734,RandomForestClassifier
num__wd_N,0.003936244207522457,RandomForestClassifier
num__RAIN,0.003770229889995035,RandomForestClassifier
num__wd_NNW,0.0037311370037380774,RandomForestClassifier
num__wd_SW,0.003547818828768889,RandomForestClassifier
num__wd_ENE,0.0035016099256706596,RandomForestClassifier
num__wd_NNE,0.00342882655907086,RandomForestClassifier
num__wd_NW,0.0033504243476945718,RandomForestClassifier
num__wd_ESE,0.003270746361236085,RandomForestClassifier
num__wd_WSW,0.002998700342826504,RandomForestClassifier
num__wd_SSW,0.002946765220302821,RandomForestClassifier
num__wd_WNW,0.0028299775928515808,RandomForestClassifier
num__wd_S,0.0026005522184194873,RandomForestClassifier
num__wd_W,0.002503164660728447,RandomForestClassifier
num__wd_SE,0.0023870912571324968,RandomForestClassifier
num__wd_SSE,0.0021235025784355965,RandomForestClassifier
num__station_Dingling,0.0,RandomForestClassifier
num__station_Dongsi,0.0,RandomForestClassifier
num__station_Guanyuan,0.0,RandomForestClassifier
num__station_Gucheng,0.0,RandomForestClassifier
num__station_Huairou,0.0,RandomForestClassifier
num__station_Nongzhanguan,0.0,RandomForestClassifier
num__station_Shunyi,0.0,RandomForestClassifier
num__station_Tiantan,0.0,RandomForestClassifier
num__station_Wanliu,0.0,RandomForestClassifier
num__station_Wanshouxigong,0.0,RandomForestClassifier
